gene,bio_rank,ko_l2_mean,residual_l2,resid_rank,mean_expr,frac_expr,is_ref
LINC01435,2010,8.929366e-4,3.7200040511884346e-4,1027,0.012283237,0.0108381502890173,FALSE
GTF2IP13,1954,9.976444e-4,3.7129931021013054e-4,1028,0.014450867,0.0115606936416184,FALSE
WNT4,2092,7.677493e-4,3.697622960607143e-4,1029,0.009393063,0.0079479768786127,FALSE
DIO3,2103,7.4363186e-4,3.6971037766711545e-4,1030,0.00867052,0.0065028901734104,FALSE
SMCR8,1758,0.0015219795,3.69254712540473e-4,1031,0.027456647,0.0267341040462427,FALSE
ZNF525,1738,0.0016019174,3.687657869938008e-4,1032,0.028901733,0.0260115606936416,FALSE
GDPD3,1874,0.0012098128,3.664404871749216e-4,1033,0.020231213,0.0202312138728323,FALSE
MATK,1980,9.407333e-4,3.652217979994804e-4,1034,0.013728323,0.0130057803468208,FALSE
LINC00290,2050,8.242566e-4,3.647414249876444e-4,1035,0.01083815,0.009393063583815,FALSE
HAS3,2087,7.798254e-4,3.6453850258542757e-4,1036,0.010115607,0.0101156069364161,FALSE
PCDH12,2082,7.8531133e-4,3.6328561704948917e-4,1037,0.010115607,0.009393063583815,FALSE
MKRN2OS,1412,0.003544929,3.624618152134482e-4,1038,0.07586705,0.0679190751445086,FALSE
DIO2-AS1,1571,0.0024293016,3.6207223135989615e-4,1039,0.047687862,0.0382947976878612,FALSE
LINC01994,1740,0.0015979809,3.6122740190592964e-4,1040,0.028179191,0.0216763005780346,FALSE
SMIM18,1742,0.0015869507,3.6053790252973874e-4,1041,0.028901733,0.0267341040462427,FALSE
SSTR1,2196,6.2105333e-4,3.5992293021762823e-4,1042,0.00650289,0.0065028901734104,FALSE
RASEF,1886,0.0011676506,3.581600917034344e-4,1043,0.018786127,0.0158959537572254,FALSE
SLC12A9-AS1,1752,0.0015409901,3.581471261934426e-4,1044,0.028179191,0.0274566473988439,FALSE
LINC00378,1670,0.0019089652,3.580685561286955e-4,1045,0.033959538,0.0195086705202312,FALSE
S100G-1,2120,7.184324e-4,3.5798854873899365e-4,1046,0.00867052,0.0079479768786127,FALSE
PLPPR2,1355,0.0039789323,3.573948562610468e-4,1047,0.08742774,0.0809248554913294,FALSE
ABCC11,2128,7.108085e-4,3.5710346427493057e-4,1048,0.00867052,0.0086705202312138,FALSE
RIT2,687,0.016126296,3.569246173089339e-4,1049,0.3865607,0.1445086705202312,FALSE
CXCL17,1748,0.0015662179,3.564196640496879e-4,1050,0.028179191,0.0245664739884393,FALSE
PLGLB2,2025,8.695327e-4,3.5533532065478216e-4,1051,0.012283237,0.0115606936416184,FALSE
BMP3,2108,7.394475e-4,3.549381271325925e-4,1052,0.009393063,0.009393063583815,FALSE
LINC01995,1864,0.0012352862,3.547958993733723e-4,1053,0.020953758,0.0202312138728323,FALSE
EPHA8,2202,6.1519316e-4,3.5406276021762815e-4,1054,0.00650289,0.0065028901734104,FALSE
METTL27,1966,9.6595596e-4,3.530885012820094e-4,1055,0.014450867,0.0130057803468208,FALSE
PRKCB,1304,0.0044381684,3.5307774613093864e-4,1056,0.09609827,0.0758670520231213,FALSE
PDZK1,1939,0.001032462,3.517013008353542e-4,1057,0.015895953,0.0137283236994219,FALSE
STYK1,2067,8.043019e-4,3.515255405235829e-4,1058,0.01083815,0.0101156069364161,FALSE
CYP2E1,2170,6.434907e-4,3.5147511737810037e-4,1059,0.0072254334,0.0072254335260115,FALSE
SSC4D,2094,7.6637155e-4,3.5108465258542655e-4,1060,0.010115607,0.0101156069364161,FALSE
STMND1,1715,0.0017227537,3.486292924909242e-4,1061,0.03034682,0.01878612716763,FALSE
DRP2,1443,0.0033631586,3.485783758939064e-4,1062,0.0700867,0.055635838150289,FALSE
LINC01933,1624,0.002117611,3.485533025860179e-4,1063,0.039739884,0.0274566473988439,FALSE
AEN,1987,9.238495e-4,3.483379979994796e-4,1064,0.013728323,0.0130057803468208,FALSE
ZNF774,1711,0.0017374582,3.4749355889729654e-4,1065,0.03251445,0.0289017341040462,FALSE
SOHLH2,2124,7.1433996e-4,3.4715729320305337e-4,1066,0.00867052,0.0072254335260115,FALSE
LINC01719,1922,0.0010753646,3.4703314223414304e-4,1067,0.01734104,0.0166184971098265,FALSE
ZFP69B,1717,0.0017154973,3.4574910550511453e-4,1068,0.03251445,0.0310693641618497,FALSE
DAB2,2071,7.9774915e-4,3.4497279052358336e-4,1069,0.01083815,0.0101156069364161,FALSE
LINC02487,2277,5.132455e-4,3.449329079177982e-4,1070,0.00433526,0.0043352601156069,FALSE
LINC02755,1915,0.0010932419,3.446939956263266e-4,1071,0.01734104,0.0144508670520231,FALSE
PXN,1401,0.0036271394,3.444500126251012e-4,1072,0.07875723,0.0722543352601156,FALSE
SLC25A25-AS1,1739,0.0016005636,3.440843125235891e-4,1073,0.029624278,0.0274566473988439,FALSE
BDNF,2134,7.0436724e-4,3.439233887389937e-4,1074,0.00867052,0.0079479768786127,FALSE
LINC02055,1439,0.0033850065,3.4375171251758453e-4,1075,0.06719653,0.0375722543352601,FALSE
CCDC8,1585,0.0023178754,3.432283735303631e-4,1076,0.046242774,0.0404624277456647,FALSE
SLC24A4,2141,6.966448e-4,3.4293976427493056e-4,1077,0.00867052,0.0086705202312138,FALSE
NPIPB15,1992,9.1829273e-4,3.4278122799947977e-4,1078,0.013728323,0.0130057803468208,FALSE
TSPAN19,1841,0.0013039293,3.425431553043633e-4,1079,0.022398844,0.0195086705202312,FALSE
LINC02381,2164,6.53516e-4,3.4128397077028366e-4,1080,0.0072254334,0.005057803468208,FALSE
ZBTB24,1817,0.0013796404,3.409090882087832e-4,1081,0.024566473,0.0231213872832369,FALSE
PCOLCE2,1756,0.0015268429,3.4042403486077646e-4,1082,0.027456647,0.0231213872832369,FALSE
APOL4,2177,6.374706e-4,3.3871620184216156e-4,1083,0.0072254334,0.0065028901734104,FALSE
CDH9,1182,0.0056594405,3.385499385878029e-4,1084,0.11849711,0.0570809248554913,FALSE
SBNO2,1588,0.002306551,3.3614133330897415e-4,1085,0.04696532,0.0447976878612716,FALSE
PRSS48,1851,0.0012654148,3.3435529414257016e-4,1086,0.0216763,0.01878612716763,FALSE
GBX2,2075,7.9185836e-4,3.323431849876459e-4,1087,0.01083815,0.009393063583815,FALSE
TRPM2-1,2248,5.624555e-4,3.322372968778371e-4,1088,0.0057803467,0.0057803468208092,FALSE
ANKDD1B,1796,0.0014213296,3.321596717600217e-4,1089,0.025289018,0.0216763005780346,FALSE
LVRN,2048,8.2910387e-4,3.321260206692636e-4,1090,0.011560693,0.009393063583815,FALSE
FGF3,2349,4.3804297e-4,3.3174453218004637e-4,1091,0.0028901733,0.0028901734104046,FALSE
ADAMTS15,1916,0.0010924404,3.3041486455444703e-4,1092,0.01734104,0.0130057803468208,FALSE
LINC00299,1722,0.0017003206,3.29875433279431e-4,1093,0.031069364,0.0231213872832369,FALSE
JAKMIP3,1816,0.0013818792,3.296702571369037e-4,1094,0.024566473,0.0216763005780346,FALSE
CTSS,2220,5.907606e-4,3.2963020021762734e-4,1095,0.00650289,0.0065028901734104,FALSE
STC2,2136,7.0304686e-4,3.291253776671145e-4,1096,0.00867052,0.0065028901734104,FALSE
GREM2,1885,0.0011712769,3.2790458717492073e-4,1097,0.020231213,0.0202312138728323,FALSE
PLGLB1,2026,8.6591666e-4,3.2778769825044646e-4,1098,0.01300578,0.0130057803468208,FALSE
