gene,bio_rank,ko_l2_mean,mean_expr,frac_expr
TNIK,410,0.029187908,1.5144509,0.569364161849711
TMTC1,411,0.029101687,1.1719654,0.3836705202312139
TOP2A,412,0.02890215,1.2738439,0.2283236994219653
SH3RF3,413,0.028818859,0.8540462,0.3417630057803468
LINC01551,414,0.028806577,0.57442194,0.2810693641618497
FGF14,415,0.028749537,0.7030347,0.305635838150289
GRM5,416,0.028702253,0.79118496,0.3439306358381503
KCNQ3,417,0.02867154,1.2391618,0.4046242774566474
CDK6,418,0.02861181,0.8489884,0.384393063583815
THSD4,419,0.028540922,0.7630058,0.2846820809248555
EIF4A1,420,0.028413314,1.1495665,0.4682080924855491
LDHB,421,0.02840676,0.9992775,0.3908959537572254
SOX9,422,0.028332505,0.8569364,0.3713872832369942
ARPP21,423,0.028306311,0.41040462,0.2680635838150289
DNAJB1,424,0.028287359,1.251445,0.2752890173410404
ZNF536,425,0.028273335,0.81647396,0.3880057803468208
UBC,426,0.028081795,1.549133,0.444364161849711
CENPK,427,0.028075151,0.6567919,0.2875722543352601
TCF7L1-1,428,0.028053403,0.91184974,0.4263005780346821
SPARC,429,0.028029056,0.8742775,0.3771676300578034
ZFPM2-AS1,430,0.02801679,0.5556358,0.2984104046242775
AFF2,431,0.028004227,0.91907513,0.463150289017341
ZIC2,432,0.027987821,0.45158958,0.2102601156069364
GAS5,433,0.027984757,0.6134393,0.3728323699421965
CHST9,434,0.027899425,0.5910405,0.2550578034682081
IQCJ-SCHIP1,435,0.027823392,0.40606937,0.1835260115606936
CENPF,436,0.027777039,1.017341,0.1893063583815029
RNF220,437,0.02757929,0.6033237,0.1878612716763005
ADGRL2,438,0.027496522,1.2680635,0.4414739884393063
TMA7,439,0.02730167,1.0960983,0.4458092485549133
GRIK5,440,0.027249256,0.6351156,0.3157514450867052
PTPRN2,441,0.027195191,0.7333815,0.3851156069364161
RANBP17,442,0.027110733,1.0426301,0.440028901734104
OPCML,443,0.027089037,0.8952312,0.3460982658959537
FHIT,444,0.027014825,1.6546242,0.4696531791907514
SORCS3,445,0.02697824,0.72615606,0.3013005780346821
MMD2,446,0.026966456,0.607659,0.2709537572254335
HMGA2,447,0.026938006,0.91257226,0.3258670520231214
PDGFC,448,0.026907444,0.71748555,0.3742774566473988
MYL1,449,0.026827468,0.33092487,0.2182080924855491
RGS6,450,0.026804274,1.3468208,0.2153179190751445
KIAA1217,451,0.026793733,0.9306358,0.3294797687861271
PRKN,452,0.026787437,1.4067919,0.5195086705202312
XRCC5,453,0.026686989,1.192919,0.5606936416184971
YAP1,454,0.026535477,1.308526,0.5455202312138728
TENM3,455,0.026398273,0.79118496,0.328757225433526
BICC1,456,0.026367232,1.191474,0.4393063583815029
LINGO2,457,0.026359415,0.6734104,0.217485549132948
KCND2,458,0.026350968,1.1842486,0.3511560693641618
FRMD5,459,0.026196716,1.7644509,0.5144508670520231
LMCD1-AS1,460,0.026161807,1.1351156,0.4176300578034682
SVIL,461,0.026003813,1.0859827,0.4573699421965317
PLPPR1,462,0.025966413,1.1300578,0.3699421965317919
OBI1-AS1,463,0.025885772,0.60549134,0.1878612716763005
PRELID2,464,0.025817383,0.87716764,0.3453757225433526
GABRG3,465,0.02574976,0.5932081,0.2695086705202312
SORCS2,466,0.02564175,0.62789017,0.3692196531791907
RAN,467,0.025588294,1.1336706,0.3815028901734104
NFIA-AS2,468,0.025552088,0.62789017,0.2955202312138728
LINC00511,469,0.025517458,0.8742775,0.3880057803468208
ABTB2,470,0.025463436,0.8648844,0.3215317919075144
UTRN,471,0.025452796,1.2745665,0.4682080924855491
CSRNP3,472,0.025432002,0.9486994,0.4739884393063583
ATP1B2,473,0.02542721,0.7796243,0.3692196531791907
SRGAP3,474,0.025396967,0.90317917,0.4790462427745665
GFAP,475,0.02533738,0.507948,0.2254335260115607
CSGALNACT1,476,0.0252912,0.5354046,0.2507225433526011
LY6H,477,0.025277602,0.6040462,0.3468208092485549
EPHA6,478,0.025196362,0.80780345,0.3049132947976878
DNM3,479,0.025195621,0.857659,0.4501445086705202
PDLIM3,480,0.025170943,0.6069364,0.291907514450867
KHDRBS2,481,0.025137136,0.75650287,0.3540462427745665
SLC9A9,482,0.02509926,0.39378613,0.2341040462427745
ZFHX3,483,0.025020726,0.6430636,0.3475433526011561
MCC,484,0.024958974,0.7268786,0.3793352601156069
LMO3,485,0.024906378,0.6235549,0.3497109826589595
