gene,ko_l2_mean_70d,ko_l2_mean_115d
CLVS1,0.021974074,0.017100358
PIMREG,0.021926535,0.0031371894
ABHD3,0.021610674,0.021693507
CADPS,0.021607026,0.02078803
STK24,0.02157207,0.016344296
DEPDC1B,0.02154327,0.0058845193
TMTC1,0.021542149,0.029101687
DUSP16,0.02151689,0.015063622
BRIP1,0.0215139,0.020895965
LINC01830,0.021508772,0.0012770991
AKAP6,0.021400075,0.077793345
NTM,0.02123271,0.08132344
BARHL2,0.021230523,8.092467e-05
IFI44L,0.021196969,0.01148022
TCIM,0.02118806,0.011462906
LDLRAD4,0.021182265,0.036252137
PRDM16,0.021149205,0.043284625
GLUD1,0.021141184,0.02209855
ASCL1,0.02112457,0.010684062
MSRA,0.021054273,0.05661164
TNFRSF19,0.02105281,0.019380338
HS6ST3,0.02096178,0.030945577
PUM1,0.020960154,0.024610216
CTNNA2,0.020956893,0.067893125
RGS20,0.020838507,0.05067847
MGAT4C,0.02081397,0.066913
GTSE1,0.02079597,0.006643659
ATP2B4,0.020750308,0.020196877
TANC2,0.020736355,0.041606292
SSH2,0.020500703,0.023136348
FRMD4B,0.020453613,0.015377202
PCDHGB4-1,0.020358196,0.0139267845
MACROD2,0.020237865,0.035785846
NBEA,0.02009157,0.04316471
PDE4D,0.020001907,0.064700276
CRNDE,0.019960385,0.020252388
NHS,0.019959137,0.013704946
ST6GALNAC5,0.019958062,0.022807332
SGO2,0.019922672,0.011104978
MBNL2,0.019908372,0.015518757
FRMD5,0.019734278,0.026196716
PGAM4,0.019725122,0.0119656855
DMRTA2,0.01962545,0.009827271
CXADR,0.01957091,0.009527201
NR2F2,0.01939675,0.021123402
NOTCH2,0.019381318,0.036346782
TTC6,0.019316977,0.017515717
ADAMTS9-AS2,0.019163227,0.015625153
NEUROG2,0.019128287,0.0035486221
DCLK1,0.019104255,0.06902128
PKN2,0.019078476,0.024527274
FGF13-1,0.018944453,0.0083352635
LINC01473,0.018886019,0.040759683
CENPP,0.018855728,0.02956064
PPM1E,0.018643258,0.022020826
TSHZ2,0.018637845,0.013777777
ARL4A,0.018580928,0.005090048
UTRN,0.01851546,0.025452796
MELK,0.01851012,0.01735786
DTNA,0.018504774,0.050466873
ZNF608,0.0183534,0.030146554
SGCE,0.018331138,0.017090028
ZNF521,0.01827963,0.02186564
NCAPG,0.018208833,0.011489466
ENC1,0.01820347,0.021018088
BMPR1B,0.018194206,0.036792744
NDC80,0.018172488,0.007867794
GAS1,0.01816587,0.010863215
TMEM108,0.018134573,0.050852545
LY6H,0.018127626,0.025277602
SUCLA2,0.018106181,0.008682183
APCDD1,0.018098213,0.019246388
RHOBTB3,0.018066818,0.011652431
OTX2,0.018024823,0.0035749155
ST6GALNAC3,0.01802263,0.020717146
MT-TV,0.017937494,0.00041752149
EPB41,0.01791704,0.011050215
MAML2,0.017915089,0.048295226
SIPA1L1,0.017892256,0.03566973
CDCA3,0.017891208,0.0051119863
NDST4,0.01787539,0.0015161672
ANXA2,0.017867234,0.012815042
EML1,0.017864756,0.012565009
KNL1,0.017835395,0.012534133
SEMA6A-AS1,0.017822677,0.019995192
YAP1,0.017818287,0.026535477
