gene,pearson_r,pval,padj,abs_r
C11orf58,-0.016131345182657242,0.3452823026495835,0.7064095493055004,0.016131345182657242
MT-RNR2,0.01612474024295807,0.3454798754792038,0.7064095493055004,0.01612474024295807
CTXN3,-0.016119366511702538,0.3456406724385209,0.7064095493055004,0.016119366511702538
NTM,-0.016116155311465263,0.3457367832194464,0.7064095493055004,0.016116155311465263
SH3BP5-AS1,0.016112571582198143,0.345844063841283,0.7064095493055004,0.016112571582198143
SELENBP1,-0.01610920950770378,0.3459447283966669,0.7064095493055004,0.01610920950770378
RGS1,0.016103142872452736,0.3461264179631962,0.7064926600462632,0.016103142872452736
SLC17A6,-0.01607847772538662,0.3468657396138388,0.7077134451160204,0.01607847772538662
LINC02064,0.016073206439614296,0.34702387317224054,0.7077479155336172,0.016073206439614296
LPAR3,0.016045711934566498,0.34784942544524095,0.7091429906045982,0.016045711934566498
GCSAML,0.016031084582209587,0.34828913581704046,0.7093947482828507,0.016031084582209587
VSIG2-1,0.016028601676225662,0.34836380907813164,0.7093947482828507,0.016028601676225662
ZC2HC1B,-0.016025319695472717,0.3484625300749772,0.7093947482828507,0.016025319695472717
LINC01786,-0.016016896814107895,0.34871596913642494,0.7093947482828507,0.016016896814107895
HCN1,0.016016069799661636,0.3487408597764395,0.7093947482828507,0.016016069799661636
RPL27P6,0.016013363376259804,0.34882232284353304,0.7093947482828507,0.016013363376259804
DDIT4,-0.01599959284067154,0.34923700167792787,0.7097519024906098,0.01599959284067154
ZNF735,0.015998125076293945,0.3492812196251933,0.7097519024906098,0.015998125076293945
LINC02774,-0.015980122610926628,0.3498238518818883,0.7103600866723475,0.015980122610926628
LINC00184,-0.015972953289747238,0.3500400991367425,0.7103600866723475,0.015972953289747238
SGIP1,-0.015970563516020775,0.3501122003896034,0.7103600866723475,0.015970563516020775
PYGB,0.015968820080161095,0.35016480708877334,0.7103600866723475,0.015968820080161095
TRG-AS1,0.015964694321155548,0.35028931833314125,0.7103600866723475,0.015964694321155548
CTXND1,0.01594371534883976,0.35092287673055506,0.7113570126605224,0.01594371534883976
LINC01411,0.015918483957648277,0.3516858179047248,0.71243434141572,0.015918483957648277
MT1M,-0.0159167367964983,0.351738687021052,0.71243434141572,0.0159167367964983
DNAJC28,0.01590799354016781,0.3520033336421243,0.7126088256844264,0.01590799354016781
KCNQ4,-0.015904495492577553,0.3521092501286449,0.7126088256844264,0.015904495492577553
EYA1,0.01588716357946396,0.35263433615869433,0.7131994008878989,0.01588716357946396
