gene,pearson_r_70d,pearson_r_115d
MID1,-0.17843273282051086,-0.2899850606918335
HECW1,-0.1783534288406372,-0.25930657982826233
MAGI1,-0.178175687789917,-0.17905059456825256
RSPO3,-0.17730477452278137,-0.1737753450870514
XYLT1,-0.17475625872612,0.02856650948524475
PDZRN4,0.17466068267822266,0.010772641748189926
SFRP1,-0.1741923987865448,-0.2114039957523346
KIF4A,-0.17402689158916473,-0.021969648078083992
KNL1,-0.17305412888526917,-0.032417211681604385
SHROOM3,-0.17229214310646057,-0.2679287791252136
SOX2-OT,0.1706722378730774,0.27104049921035767
TMTC2,0.17023363709449768,-0.16347643733024597
PIMREG,-0.16867071390151978,-0.05747760087251663
HJURP,-0.16760611534118652,-0.05228095501661301
SFRP2,-0.16754715144634247,-0.12224919348955154
TCF7L2,0.16721276938915253,-0.03184664621949196
HSPB1,-0.1671648621559143,-0.04879944398999214
CDC25C,-0.16529887914657593,-0.007782992906868458
AURKB,-0.16353055834770203,-0.08029267936944962
KIF11,-0.16339966654777527,-0.04433397948741913
COL4A6,-0.16295453906059265,-0.13819372653961182
COL4A5,-0.1624719202518463,-0.19104135036468506
LINC01414,0.16239099204540253,-0.21010994911193848
TLE4,-0.16202867031097412,-0.2012021541595459
CDK1,-0.16157567501068115,-0.033729273825883865
CPNE8,0.1613761931657791,0.04676669090986252
DEPDC1B,-0.16107618808746338,-0.03357816860079765
ID1,-0.16059505939483643,0.04695644974708557
GPC6,-0.16049709916114807,-0.3623305559158325
TNC,-0.16041749715805054,0.07742217183113098
NDC80,-0.15954449772834778,-0.06718025356531143
CADPS,-0.15895095467567444,-0.21488282084465027
SVIL,-0.1581873893737793,-0.2033238559961319
NTRK3,-0.15787672996520996,-0.15682819485664368
NR2F2,0.1575525999069214,0.23825806379318237
CCNI,-0.1570410430431366,-0.03834489360451698
NUSAP1,-0.15603506565093994,-0.038585394620895386
ERBB4,0.1556917130947113,0.23387640714645386
TUBB3,0.1554991900920868,-0.06673944741487503
HMGA2,-0.15547096729278564,-0.04380904138088226
KIF18B,-0.15502452850341797,-0.0130131421610713
ANXA2,-0.15471188724040985,-0.14243963360786438
MIS18BP1,-0.154572993516922,-0.04096219316124916
FBXL7,-0.15432947874069214,-0.2895054817199707
HSPA1B,-0.15331564843654633,-0.13028402626514435
ECT2,-0.1528034210205078,-0.09151109308004379
MOXD1,-0.15278419852256775,-0.2111969292163849
GAS1,-0.15277259051799774,-0.04548616707324982
BUB1B,-0.1523236334323883,-0.03348687291145325
PID1,0.15174144506454468,0.0324486680328846
PLEKHA5,-0.15171962976455688,-0.141155406832695
NOTCH2,-0.151676207780838,-0.14170220494270325
PGM5-AS1,-0.15133553743362427,-0.035375021398067474
NELL2,0.15062282979488373,0.04755648970603943
SGO1,-0.1505310833454132,0.0016421014443039894
DAB1,-0.14898908138275146,-0.0871247872710228
LHFPL6,0.1476411074399948,0.044905588030815125
FRMD5,-0.14589953422546387,-0.3556387424468994
LRRTM3,-0.14416728913784027,-0.18351776897907257
FGF8,-0.14402219653129578,-0.004133925307542086
TMSB10,0.14395172894001007,0.14532706141471863
NEDD4L,-0.14266113936901093,-0.33866602182388306
CDH8,0.14217227697372437,-0.11730245500802994
SEZ6L,-0.1420942097902298,-0.10869638621807098
TMEM132B,-0.1416216492652893,-0.3629308342933655
TMSB15A,0.14146950840950012,0.01574496552348137
TMTC1,-0.14128512144088745,-0.1880934089422226
BACH2,-0.1401018500328064,-0.11224748194217682
IL1RAPL1,-0.13974110782146454,-0.2344716191291809
IL17RD,-0.13944832980632782,-0.12800131738185883
FOXP1,-0.13934819400310516,-0.2376936674118042
LINC00621,-0.1389979124069214,-0.27192234992980957
HS6ST2,-0.13866478204727173,-0.053360819816589355
SLC8A1,0.1375640630722046,-0.21859024465084076
PIP5K1B,-0.1367136538028717,-0.21124669909477234
DNAJB1,-0.13659046590328217,-0.047545649111270905
LINGO2,-0.13621443510055542,-0.26231449842453003
GRID1,0.13617929816246033,0.046202290803194046
GPM6B,0.13614682853221893,0.25491753220558167
HSPA1A,-0.13608473539352417,-0.02323118969798088
ACTB,0.13566341996192932,0.05557328462600708
THSD4,0.13560689985752106,0.11254194378852844
LRIG1-1,0.13527649641036987,0.08354777097702026
HES4,0.13509292900562286,0.09421258419752121
NDST3,0.13500897586345673,0.19271713495254517
FBXO32,-0.1348024308681488,-0.3603232800960541
HES1,-0.13393601775169373,-0.1250239908695221
SOX4,-0.13325288891792297,0.0048052966594696045
PRKG1,-0.13313166797161102,-0.18054604530334473
DACH1,-0.133113294839859,0.019507434219121933
ZNF804A,-0.13308794796466827,-0.0973399430513382
BRIP1,0.13234014809131622,-0.001615770161151886
PANTR1,-0.13212105631828308,-0.1790495365858078
